processDurationDays,categoryCriteria,processCategoryCount
0,<= 1 Days,33
1,<= 1 Days,27
2,<= 5 Days,1
3,<= 5 Days,3
4,<= 5 Days,17
5,<= 5 Days,10
6,<= 10 Days,41
7,<= 10 Days,44
8,<= 10 Days,5
9,<= 10 Days,3
10,<= 10 Days,7
11,<= 15 Days,26
12,<= 15 Days,33
13,<= 15 Days,35
14,<= 15 Days,36
15,<= 15 Days,21
16,> 15 Days,6
17,> 15 Days,13
18,> 15 Days,29
19,> 15 Days,25
20,> 15 Days,31
21,> 15 Days,47
22,> 15 Days,39
23,> 15 Days,8
24,> 15 Days,9
25,> 15 Days,13
26,> 15 Days,14
27,> 15 Days,1
28,> 15 Days,1
30,> 15 Days,5
31,> 15 Days,12
32,> 15 Days,28
33,> 15 Days,21
34,> 15 Days,2
35,> 15 Days,1
36,> 15 Days,15
37,> 15 Days,12
38,> 15 Days,2
39,> 15 Days,9
40,> 15 Days,1
41,> 15 Days,1
44,> 15 Days,2
