processDurationDays,categoryCriteria,processCategoryCount
0,<= 1 Days,177
1,<= 1 Days,43
2,<= 5 Days,40
3,<= 5 Days,66
4,<= 5 Days,44
5,<= 5 Days,47
6,<= 10 Days,73
7,<= 10 Days,80
8,<= 10 Days,96
9,<= 10 Days,48
10,<= 10 Days,66
11,<= 15 Days,42
12,<= 15 Days,56
13,<= 15 Days,66
14,<= 15 Days,115
15,<= 15 Days,51
16,> 15 Days,26
17,> 15 Days,43
18,> 15 Days,30
19,> 15 Days,35
20,> 15 Days,49
21,> 15 Days,30
22,> 15 Days,28
23,> 15 Days,13
24,> 15 Days,9
25,> 15 Days,17
26,> 15 Days,12
27,> 15 Days,11
28,> 15 Days,11
29,> 15 Days,11
30,> 15 Days,2
31,> 15 Days,4
32,> 15 Days,16
33,> 15 Days,2
34,> 15 Days,12
35,> 15 Days,17
36,> 15 Days,3
37,> 15 Days,4
38,> 15 Days,2
39,> 15 Days,1
40,> 15 Days,1
41,> 15 Days,6
42,> 15 Days,8
43,> 15 Days,1
45,> 15 Days,1
46,> 15 Days,6
47,> 15 Days,3
48,> 15 Days,3
49,> 15 Days,4
80,> 15 Days,1
85,> 15 Days,1
